Date,SPY
2022-09-01,0.0031379775454722925
2022-09-02,-0.010544502504256092
2022-09-06,-0.0037732592725364666
2022-09-07,0.017965055055607193
2022-09-08,0.00653631394479004
2022-09-09,0.015535180453262631
2022-09-12,0.010747630763023652
2022-09-13,-0.043482350403517445
2022-09-14,0.0038158725848966846
2022-09-15,-0.011353345253842906
2022-09-16,-0.007628908674040313
2022-09-19,0.007754834485889761
2022-09-20,-0.011478631724572863
2022-09-21,-0.01744359906546511
2022-09-22,-0.008399825121632176
2022-09-23,-0.016754855020109538
2022-09-26,-0.009892653343624769
2022-09-27,-0.002552668481255349
2022-09-28,0.019676248734187496
2022-09-29,-0.020889014220958235
2022-09-30,-0.015463482732346656
2022-10-03,0.026401141809209383
2022-10-04,0.0309866067497524
2022-10-05,-0.0023281059667856763
