Date,HDG
2022-08-31,-0.0006381419457263116
2022-09-01,-0.0074517196545002
2022-09-02,-0.002144983365435116
2022-09-06,-0.0008598734224150029
2022-09-07,0.004948437862305699
2022-09-08,-0.0029972260331811995
2022-09-09,0.008159759022703161
2022-09-12,0.006389720072947469
2022-09-13,-0.014179919611026603
2022-09-14,-0.00042929369542366036
2022-09-15,0.0008592239453617534
2022-09-16,-0.004721184159897307
2022-09-19,0.0
2022-09-20,-0.0017248483733981468
2022-09-21,-0.004751506250552651
2022-09-22,-0.005208413197833828
2022-09-23,-0.011780127617444736
2022-09-26,-0.003973364830312409
2022-09-27,-0.0017729232266945338
2022-09-28,0.007104472829770225
2022-09-29,-0.011022831128889243
2022-09-30,0.0022290449805117962
2022-10-03,0.01356778358847599
2022-10-04,0.019091401289919707
