date,return
2023-11-29,-0.009469920314461516
2023-11-30,-0.03297304969407717
2023-12-01,-0.011648588257056032
2023-12-04,0.017430445708673442
2023-12-05,0.021068585202505336
2023-12-06,0.0332851350876698
2023-12-07,-0.006566209646161888
2023-12-08,0.004636143186218893
2023-12-11,-0.01354723201464398
2023-12-12,0.013753931302283588
2023-12-13,-0.021709268194260587
2023-12-14,-0.02844565753672809
2023-12-15,-0.004871006548978786
2023-12-18,-0.010464928717309604
2023-12-19,-0.0105699672372248
2023-12-20,0.017334023999669653
2023-12-21,-0.0027620629816986746
2023-12-22,-0.005624981822698359
2023-12-26,-0.014270731067536886
2023-12-27,0.006205548251310582
2023-12-28,0.005616033156884612
2023-12-29,-0.006125878666359897
2024-01-02,-0.021435697192405012
2024-01-03,-0.02643272693138927
