Date,masHedgeFund
2022-12-05,-0.0088867586480939
2022-12-06,-0.0032098333137776
2022-12-07,0.0045972036295938
2022-12-08,0.0032051090078395
2022-12-09,-0.0070501640527578
2022-12-12,0.006240362095075
2022-12-13,0.0071257109987563
2022-12-14,-0.0013031226028098
2022-12-15,-0.0108241433229936
2022-12-16,-0.0067558916869988
2022-12-19,-0.0045424351974051
2022-12-20,-0.0004276341291917
2022-12-21,0.0095877982483518
2022-12-22,-0.0032607432973333
2022-12-23,0.0011833293854361
2022-12-27,0.0008957251672787
2022-12-28,-0.0096415316272
2022-12-30,0.001338337929307
2023-01-03,0.0038786755926893
2023-01-04,0.0110800192516928
2023-01-05,-0.001157072863097
2023-01-06,0.0141103294008224
2023-01-09,-0.0039759980649699
2023-01-10,0.0029418095055802
